BoardSize,9,GameMode,General
Blue,0,0,S,false
Red,0,1,S,false
Blue,0,2,S,false
Red,0,3,S,false
Blue,0,4,S,false
Red,0,5,S,false
Blue,0,6,S,false
Red,0,7,S,false
Blue,0,8,S,false
Red,1,8,S,false
Blue,2,8,S,false
Red,3,8,S,false
Blue,4,8,S,false
Red,5,8,S,false
Blue,6,8,S,false
Red,7,8,S,false
Blue,8,8,S,false
Red,8,7,S,false
Blue,8,6,S,false
Red,8,5,S,false
Blue,8,4,S,false
Red,7,3,S,false
Blue,8,3,S,false
Red,8,2,S,false
Blue,8,1,S,false
Red,8,0,S,false
Blue,7,0,S,false
Red,6,0,S,false
Blue,5,0,S,false
Red,4,0,S,false
Blue,3,0,S,false
Red,2,0,S,false
Blue,1,0,S,false
